lib,rate,avg_energy_j,avg_net_energy_j,std_net_energy_j,median_net_energy_j,n
logbook,0.01,1466.093434412196,0.36343441219596573,0.2568409194560726,0.32923462420001215,10
loguru,0.01,1468.524533615532,2.794533615531941,7.229674968877522,0.39437629894007387,10
picologging,0.01,1465.9046979085801,0.17469790857994666,0.1649174581746744,0.1351157343400473,10
pythonjsonlogger,0.01,1465.943133657312,0.21313365731198247,0.28480210593865973,0.13453080777992454,10
stdlib,0.01,1466.030502115056,0.3005021150559969,0.18889742928755593,0.26811142335998284,10
structlog,0.01,1466.12502411444,0.3950241144399797,0.2830229215091213,0.4128204338200021,10
logbook,0.1,1466.0215553574722,0.29155535747202066,0.15400681297469546,0.2755389309400016,10
loguru,0.1,1466.080739536896,0.3507395368959806,0.1978561624946167,0.25101894232000177,10
picologging,0.1,1465.944708694392,0.21470869439197032,0.17966687114822769,0.15289035850003074,10
pythonjsonlogger,0.1,1465.953124014144,0.22312401414396846,0.20718699003765365,0.14855423949995838,10
stdlib,0.1,1466.206344758448,0.47634475844797636,0.18465544357621058,0.4455306407800208,10
structlog,0.1,1466.315589650328,0.5855896503279837,0.15432690602648147,0.5677392858400481,10
logbook,1.0,1471.358340503748,5.62834050374795,2.0731336883504667,6.851921413779905,10
loguru,1.0,1470.988589900472,5.25858990047202,2.8077966141957593,6.816323617839998,10
picologging,1.0,1467.0212154839999,1.291215483999963,0.15339868084325653,1.3063386329198465,10
pythonjsonlogger,1.0,1468.08122363406,2.3512236340600112,0.266897697360589,2.3897166194800548,10
stdlib,1.0,1467.353813409216,1.623813409215927,0.20823029037404028,1.6034661413199274,10
structlog,1.0,1469.6961149164322,3.9661149164320024,2.5479416580109073,2.215913419899948,10
logbook,10.0,1476.6590461309559,10.929046130955976,2.663783620725948,9.814691527299942,10
loguru,10.0,1474.7969086007402,9.066908600739998,0.25385299937839423,9.16203249532009,10
picologging,10.0,1479.7060822559881,13.97608225598799,2.2633295981496335,13.921577982639974,10
pythonjsonlogger,10.0,1473.264496862784,7.534496862783977,0.19842004558494547,7.4673979343199335,10
stdlib,10.0,1471.660423895124,5.930423895123999,3.4750994477906163,4.885208939440076,10
structlog,10.0,1473.99433113528,8.264331135279985,0.14527694053789494,8.272959741639966,10
logbook,100.0,1545.183371254176,79.45337125417593,4.460650301236125,78.87812264145987,10
loguru,100.0,1532.12550324822,66.39550324821998,0.8163707886105643,66.50534627596005,10
picologging,100.0,1500.032949042708,34.30294904270795,0.35169636227103024,34.234450158879895,10
pythonjsonlogger,100.0,1536.18862750524,70.45862750524,3.539020419520103,68.44164341446003,10
stdlib,100.0,1527.258064849128,61.528064849127986,6.444329402915462,63.17944450083996,10
structlog,100.0,1538.3336291786159,72.603629178616,5.865831690269263,69.77316838906006,10
logbook,1000.0,2018.263674539448,552.533674539448,9.283859856856845,551.2684911625,10
loguru,1000.0,1891.1963755405438,425.46637554054394,12.28084102950804,427.25189573217995,10
picologging,1000.0,1752.67134056016,286.94134056016003,4.681400652900747,284.47352835148,10
pythonjsonlogger,1000.0,1988.9073346714558,523.1773346714559,7.727102102421909,524.1957457635999,10
stdlib,1000.0,1917.4557209532838,451.72572095328405,5.009046294988928,449.65156574944,10
structlog,1000.0,2001.880174153248,536.150174153248,9.338782798880949,535.5932292767799,10
