lib,rate,avg_net_energy_j,std_net_energy_j,n
picologging,0.01,0.17137355031994161,0.18634997751537635,8
pythonjsonlogger,0.01,0.24797178518500118,0.3099248303095431,8
stdlib,0.01,0.25751943846998415,0.18392335275032762,8
logbook,0.01,0.4110133206249884,0.26757444093755295,8
structlog,0.01,0.47000977295499524,0.2593603862663235,8
loguru,0.01,3.3945729446799078,8.071198243446162,8
pythonjsonlogger,0.1,0.14146223396497248,0.024275819398729758,8
picologging,0.1,0.1996501301199487,0.1983601165681755,8
logbook,0.1,0.27801226369001597,0.17043744739036645,8
loguru,0.1,0.3131302982049533,0.16765088994927288,8
stdlib,0.1,0.4628881890099592,0.20259741744090987,8
structlog,0.1,0.5928391114299814,0.1701201308776547,8
picologging,1.0,1.3314901910499657,0.1418088853104002,8
stdlib,1.0,1.6463752792299147,0.21480662836092224,8
pythonjsonlogger,1.0,2.3989809310749877,0.25433962082580786,8
structlog,1.0,3.8703378868750065,2.568132565858336,8
loguru,1.0,4.861065286990026,3.0382537588702725,8
logbook,1.0,6.387719592069942,1.493016622942874,8
stdlib,10.0,6.213431258740002,3.881795115221099,8
pythonjsonlogger,10.0,7.498533255534966,0.13284794577358672,8
structlog,10.0,8.303059543014996,0.1313504077781342,8
loguru,10.0,9.03747092175999,0.27889118396446927,8
logbook,10.0,11.27099072975497,2.9069936202835067,8
picologging,10.0,13.939897993929975,2.3014678396504844,8
picologging,100.0,34.221116211669965,0.3324623159424008,8
stdlib,100.0,62.292651787044974,6.717687540993931,8
loguru,100.0,66.45063172140996,0.3744991399070125,8
pythonjsonlogger,100.0,70.03090968778,3.1996914395704765,8
structlog,100.0,73.21794003442,6.482829212898525,8
logbook,100.0,80.43329423205995,4.472004080080883,8
picologging,1000.0,287.84374332125503,4.843425247516347,8
loguru,1000.0,423.07280717761,12.30110721345834,8
stdlib,1000.0,452.604036770785,5.258734868656431,8
pythonjsonlogger,1000.0,525.09338045191,6.2928479468582195,8
structlog,1000.0,538.5092412284649,8.667509647340303,8
logbook,1000.0,553.4807061684701,10.248230731748496,8
