lib1,lib2,wilcoxon_stat,p_raw,median_lib1,median_lib2,median_diff_lib1_minus_lib2,lower_median_lib,p_holm,significant
logbook,pythonjsonlogger,22.0,3.808509063674137e-12,8.279538014799982,5.047951213900092,3.379160573459899,pythonjsonlogger,5.7127635955112055e-11,True
logbook,stdlib,67.0,1.549523176436196e-09,8.279538014799982,3.2092238340998165,5.076942857460153,stdlib,2.1693324470106745e-08,True
stdlib,structlog,72.0,2.6059296942548826e-09,3.2092238340998165,7.625242284939986,-2.6538851439000837,stdlib,3.3877086025313474e-08,True
pythonjsonlogger,stdlib,166.0,4.256276476155563e-06,5.047951213900092,3.2092238340998165,0.7112468149199458,stdlib,5.107531771386675e-05,True
pythonjsonlogger,structlog,169.0,5.120836050309663e-06,5.047951213900092,7.625242284939986,-0.7119157105800014,pythonjsonlogger,5.632919655340629e-05,True
logbook,picologging,179.0,9.328156984622638e-06,8.279538014799982,6.551238089979961,1.9625724286199784,picologging,9.328156984622638e-05,True
logbook,loguru,184.0,1.2473848002514387e-05,8.279538014799982,8.887933317519924,0.699192213839865,logbook,0.00011226463202262948,True
loguru,picologging,217.0,7.374555111283598e-05,8.887933317519924,6.551238089979961,0.8237069845201859,picologging,0.0005899644089026879,True
picologging,structlog,225.0,0.00010967174707587901,6.551238089979961,7.625242284939986,-0.6130113454801176,picologging,0.0007677022295311531,True
logbook,structlog,263.0,0.0006161441664573886,8.279538014799982,7.625242284939986,1.2304130180400534,structlog,0.0036968649987443314,True
picologging,stdlib,268.0,0.0007592971304859475,6.551238089979961,3.2092238340998165,-0.32432562018004774,stdlib,0.0037964856524297375,True
picologging,pythonjsonlogger,313.0,0.004198267840372694,6.551238089979961,5.047951213900092,-0.6591517131600995,pythonjsonlogger,0.016793071361490775,True
loguru,structlog,385.0,0.03699290802472888,8.887933317519924,7.625242284939986,-0.269807030820175,structlog,0.11097872407418663,False
loguru,pythonjsonlogger,489.0,0.31538699702691275,8.887933317519924,5.047951213900092,0.023084873099833203,pythonjsonlogger,0.6307739940538255,False
loguru,stdlib,543.0,0.6509454979670011,8.887933317519924,3.2092238340998165,0.05665503204011202,stdlib,0.6509454979670011,False
