rate,rank_position,lib,avg_rank
0.01,1,picologging,2.625
0.01,2,pythonjsonlogger,2.875
0.01,3,stdlib,3.25
0.01,4,loguru,3.625
0.01,5,logbook,4.0
0.01,6,structlog,4.625
0.1,1,pythonjsonlogger,1.5
0.1,2,picologging,2.25
0.1,3,logbook,3.375
0.1,4,loguru,3.75
0.1,5,stdlib,4.5
0.1,6,structlog,5.625
1.0,1,picologging,1.25
1.0,2,stdlib,1.875
1.0,3,structlog,3.875
1.0,4,pythonjsonlogger,4.0
1.0,5,loguru,4.625
1.0,6,logbook,5.375
10.0,1,stdlib,1.375
10.0,2,pythonjsonlogger,1.875
10.0,3,structlog,2.875
10.0,4,loguru,3.875
10.0,5,logbook,5.25
10.0,6,picologging,5.75
100.0,1,picologging,1.0
100.0,2,loguru,2.5
100.0,3,stdlib,2.5
100.0,4,pythonjsonlogger,4.25
100.0,5,structlog,5.0
100.0,6,logbook,5.75
1000.0,1,picologging,1.0
1000.0,2,loguru,2.0
1000.0,3,stdlib,3.0
1000.0,4,pythonjsonlogger,4.125
1000.0,5,structlog,5.0
1000.0,6,logbook,5.875
