lib1,lib2,wilcoxon_stat,p_raw,median_lib1,median_lib2,median_diff_lib1_minus_lib2,lower_median_lib,p_holm,significant
loguru,pythonjsonlogger,0.0,0.0078125,0.2224758294998992,0.14143164309996337,0.09195332976003101,pythonjsonlogger,0.1171875,False
loguru,structlog,0.0,0.0078125,0.2224758294998992,0.5677392858400481,-0.2544635584799835,loguru,0.1171875,False
pythonjsonlogger,stdlib,0.0,0.0078125,0.14143164309996337,0.42501183705996937,-0.2815825840199295,pythonjsonlogger,0.1171875,False
pythonjsonlogger,structlog,0.0,0.0078125,0.14143164309996337,0.5677392858400481,-0.403534780740074,pythonjsonlogger,0.1171875,False
picologging,structlog,1.0,0.015625,0.12921191973998702,0.5677392858400481,-0.42397615656011567,picologging,0.171875,False
logbook,structlog,2.0,0.0234375,0.22841397694003263,0.5677392858400481,-0.36232579494003403,logbook,0.234375,False
picologging,stdlib,3.0,0.0390625,0.12921191973998702,0.42501183705996937,-0.32432562018004774,picologging,0.3515625,False
logbook,pythonjsonlogger,4.0,0.0546875,0.22841397694003263,0.14143164309996337,0.09318495798004278,pythonjsonlogger,0.4375,False
loguru,picologging,6.0,0.109375,0.2224758294998992,0.12921191973998702,0.09029306484001154,picologging,0.765625,False
loguru,stdlib,7.0,0.1484375,0.2224758294998992,0.42501183705996937,-0.05743342620007752,loguru,0.890625,False
stdlib,structlog,7.0,0.1484375,0.42501183705996937,0.5677392858400481,-0.1605601186200829,stdlib,0.890625,False
logbook,stdlib,8.0,0.1953125,0.22841397694003263,0.42501183705996937,-0.22727537801995368,logbook,0.890625,False
logbook,picologging,9.0,0.25,0.22841397694003263,0.12921191973998702,0.03838106196008084,picologging,0.890625,False
logbook,loguru,13.0,0.546875,0.22841397694003263,0.2224758294998992,-0.02178463661994101,loguru,1.0,False
picologging,pythonjsonlogger,13.0,0.546875,0.12921191973998702,0.14143164309996337,0.00874091771993335,picologging,1.0,False
